# I energy_spread Eo(eV) omega_s To R sigma_z td
# 0.00044 0.001017 2.75e+09 9217.43 1.181e-06 5.36 0.00145 0.00327
# resistance : 0 inductance : 0
# nq Lq dq np Lp dp
# 480 20 0.0416667 480 20 0.0416667
# nt ntint ntot t1 t2 dt
# 8000 10 80000 0 63.118 0.000788975
# bolometer cutoff : 2.5 cm-1
# t aire val.moy rms_z rms_E thz thz_lp thz_hp thz_lp_hp thz_lp_hp2 feedback DiffWithCI numprocs numthreads niter wc_time
0.520724 1 0.000647697 1.21234 1.17839 0.133203 0.271691 0.126518 0.269567 0 0 0 1 1 660 7.21281
0.528613 1 0.000665669 1.21266 1.17795 0.134257 0.270331 0.127509 0.268162 0 0 0 1 1 670 7.32205
0.536503 1 0.000683829 1.21298 1.17751 0.135328 0.268995 0.128517 0.26678 0 0 0 1 1 680 7.43136
0.544393 1 0.000702175 1.2133 1.17706 0.136407 0.267683 0.129531 0.265422 0 0 0 1 1 690 7.54071
0.552283 1 0.000720705 1.21363 1.17662 0.137482 0.266394 0.130542 0.264088 0 0 0 1 1 700 7.64992
0.560172 1 0.000739417 1.21395 1.17617 0.138545 0.265129 0.13154 0.262777 0 0 0 1 1 710 7.75913
0.568062 1 0.000758309 1.21428 1.17572 0.139585 0.263886 0.132515 0.261488 0 0 0 1 1 720 7.86823
0.575952 1 0.000777378 1.21461 1.17527 0.140596 0.262666 0.13346 0.260221 0 0 0 1 1 730 7.9773
0.583842 1 0.000796623 1.21494 1.17482 0.141568 0.261468 0.134366 0.258976 0 0 0 1 1 740 8.08644
0.591731 1 0.000816041 1.21527 1.17436 0.142495 0.260291 0.135226 0.257752 0 0 0 1 1 750 8.19562
0.599621 1 0.000835629 1.2156 1.17391 0.143369 0.259134 0.136033 0.256548 0 0 0 1 1 760 8.30477
0.607511 1 0.000855387 1.21593 1.17345 0.144185 0.257997 0.136781 0.255364 0 0 0 1 1 770 8.41388
0.615401 1 0.000875311 1.21626 1.17299 0.144936 0.256879 0.137464 0.254199 0 0 0 1 1 780 8.523
0.62329 1 0.000895399 1.2166 1.17254 0.145618 0.255779 0.138077 0.253051 0 0 0 1 1 790 8.63215
0.63118 1 0.000915649 1.21693 1.17208 0.146225 0.254696 0.138616 0.25192 0 0 0 1 1 800 8.74133
0.63907 1 0.000936059 1.21726 1.17162 0.146755 0.253629 0.139077 0.250805 0 0 0 1 1 810 8.85065
0.64696 1 0.000956626 1.2176 1.17116 0.147202 0.252578 0.139455 0.249706 0 0 0 1 1 820 8.96005
0.654849 1 0.000977349 1.21793 1.1707 0.147565 0.251541 0.139749 0.24862 0 0 0 1 1 830 9.0692
0.662739 1 0.000998225 1.21827 1.17024 0.147841 0.250517 0.139955 0.247548 0 0 0 1 1 840 9.17839
0.670629 1 0.00101925 1.2186 1.16977 0.148028 0.249506 0.140073 0.246488 0 0 0 1 1 850 9.28769
0.678519 1 0.00104043 1.21894 1.16931 0.148124 0.248506 0.140099 0.245439 0 0 0 1 1 860 9.39699
0.686408 1 0.00106175 1.21927 1.16885 0.148128 0.247516 0.140034 0.2444 0 0 0 1 1 870 9.50609
0.694298 1 0.00108322 1.2196 1.16839 0.14804 0.246535 0.139876 0.24337 0 0 0 1 1 880 9.61523
0.702188 1 0.00110483 1.21994 1.16792 0.147859 0.245563 0.139626 0.242348 0 0 0 1 1 890 9.72437
0.710078 1 0.00112657 1.22027 1.16746 0.147585 0.244598 0.139283 0.241333 0 0 0 1 1 900 9.83347
0.717967 1 0.00114846 1.2206 1.167 0.14722 0.24364 0.138849 0.240325 0 0 0 1 1 910 9.94258
0.725857 1 0.00117048 1.22093 1.16654 0.146763 0.242687 0.138323 0.239321 0 0 0 1 1 920 10.0517
0.733747 1 0.00119263 1.22126 1.16608 0.146216 0.241738 0.137708 0.238322 0 0 0 1 1 930 10.1608
0.741637 1 0.00121492 1.22159 1.16562 0.14558 0.240793 0.137004 0.237326 0 0 0 1 1 940 10.2705
0.749526 1 0.00123733 1.22192 1.16516 0.144858 0.23985 0.136214 0.236333 0 0 0 1 1 950 10.3805
0.757416 1 0.00125987 1.22225 1.1647 0.144051 0.238909 0.13534 0.235341 0 0 0 1 1 960 10.4899
0.765306 1 0.00128254 1.22257 1.16424 0.143161 0.237969 0.134383 0.23435 0 0 0 1 1 970 10.5992
0.773196 1 0.00130532 1.2229 1.16378 0.142191 0.237029 0.133347 0.233358 0 0 0 1 1 980 10.7086
0.781085 1 0.00132822 1.22322 1.16333 0.141143 0.236088 0.132233 0.232366 0 0 0 1 1 990 10.8179
0.788975 1 0.00135125 1.22354 1.16287 0.140021 0.235146 0.131046 0.231372 0 0 0 1 1 1000 10.9271
0.796865 1 0.00137438 1.22386 1.16242 0.138827 0.234201 0.129787 0.230376 0 0 0 1 1 1010 11.0362
0.804755 1 0.00139763 1.22418 1.16197 0.137564 0.233254 0.128461 0.229377 0 0 0 1 1 1020 11.1453
0.812644 1 0.00142099 1.2245 1.16152 0.136236 0.232303 0.127069 0.228375 0 0 0 1 1 1030 11.2545
0.820534 1 0.00144446 1.22481 1.16107 0.134846 0.231348 0.125617 0.227368 0 0 0 1 1 1040 11.3637
0.828424 1 0.00146803 1.22512 1.16062 0.133398 0.230389 0.124106 0.226356 0 0 0 1 1 1050 11.4728
0.836314 1 0.00149171 1.22543 1.16017 0.131894 0.229424 0.122541 0.22534 0 0 0 1 1 1060 11.582
0.844203 1 0.00151549 1.22574 1.15973 0.130338 0.228454 0.120925 0.224317 0 0 0 1 1 1070 11.6911
0.852093 1 0.00153936 1.22604 1.15929 0.128734 0.227478 0.119262 0.223289 0 0 0 1 1 1080 11.8002
0.859983 1 0.00156334 1.22634 1.15885 0.127086 0.226496 0.117555 0.222254 0 0 0 1 1 1090 11.9094
0.867873 1 0.00158741 1.22664 1.15841 0.125398 0.225506 0.115809 0.221212 0 0 0 1 1 1100 12.0185
0.875762 1 0.00161157 1.22694 1.15797 0.123672 0.22451 0.114026 0.220163 0 0 0 1 1 1110 12.1277
0.883652 1 0.00163582 1.22724 1.15754 0.121912 0.223506 0.11221 0.219106 0 0 0 1 1 1120 12.2368
0.891542 1 0.00166016 1.22753 1.15711 0.120123 0.222494 0.110366 0.218042 0 0 0 1 1 1130 12.3461
0.899432 1 0.00168458 1.22782 1.15668 0.118307 0.221475 0.108496 0.21697 0 0 0 1 1 1140 12.4552
0.907321 1 0.00170909 1.2281 1.15626 0.116469 0.220448 0.106604 0.215891 0 0 0 1 1 1150 12.5643
0.915211 1 0.00173367 1.22838 1.15584 0.114611 0.219412 0.104695 0.214803 0 0 0 1 1 1160 12.6735
0.923101 1 0.00175834 1.22866 1.15542 0.112738 0.218369 0.10277 0.213706 0 0 0 1 1 1170 12.7826
0.930991 1 0.00178308 1.22894 1.155 0.110853 0.217317 0.100834 0.212602 0 0 0 1 1 1180 12.8917
0.93888 1 0.0018079 1.22921 1.15459 0.108958 0.216257 0.0988901 0.211489 0 0 0 1 1 1190 13.0009
0.94677 1 0.00183279 1.22948 1.15418 0.107058 0.215189 0.0969415 0.210368 0 0 0 1 1 1200 13.11
0.95466 1 0.00185775 1.22975 1.15377 0.105155 0.214112 0.0949913 0.209239 0 0 0 1 1 1210 13.2191
0.96255 1 0.00188278 1.23001 1.15337 0.103254 0.213027 0.0930429 0.208102 0 0 0 1 1 1220 13.3282
0.970439 1 0.00190787 1.23027 1.15297 0.101355 0.211935 0.0910991 0.206957 0 0 0 1 1 1230 13.4374
0.978329 1 0.00193303 1.23052 1.15257 0.099464 0.210834 0.0891631 0.205804 0 0 0 1 1 1240 13.5465
0.986219 1 0.00195825 1.23077 1.15218 0.0975821 0.209725 0.0872376 0.204643 0 0 0 1 1 1250 13.6557
